Period,Report Id,Company,Company number,Payments made in the reporting period,Average time to pay,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,% Invoices not paid within agreed terms,Shortest (or only) standard payment period,Longest standard payment period,Maximum contractual payment period,Payment terms have changed,Suppliers notified of changes,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list
1921 JAN - 2021 JUN,46217,HY-TEN GROUP LIMITED,00862342,True,45.0,55.0,38.0,7.0,1.0,1.0,120.0,120.0,False,,False,True,True,False,False
2001 SEP - 2022 FEB,56616,THE BROOKE WESTON TRUST,02400784,True,28.0,70.0,24.0,6.0,49.0,30.0,40.0,40.0,False,,False,True,True,True,False
2011 JAN - 2022 JUN,59817,LIBERATA UK LIMITED,01238274,True,31.0,80.0,12.0,7.0,3.0,30.0,45.0,45.0,False,,False,False,True,False,False
2017 JAN - 2017 DEC,7106,TANGERINE CONFECTIONERY LIMITED,02025064,,69.0,12.0,32.0,56.0,35.0,30.0,90.0,90.0,False,,False,False,True,False,False
2017 APR - 2017 OCT,8860,JACKSON'S BAKERY LIMITED,03974455,,53.0,15.0,53.0,32.0,89.0,1.0,80.0,80.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,212,C.J. LANG & SON LIMITED,SC017664,,33.0,62.0,32.0,6.0,35.0,7.0,293.0,293.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,25,ELEKTA LIMITED,03244454,,59.0,16.0,47.0,37.0,49.0,1.0,110.0,110.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,148,TRM PACKAGING LIMITED,04256359,,91.0,17.0,37.0,45.0,20.0,90.0,,90.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,182,DWF LLP,OC328794,,65.0,32.0,26.0,42.0,68.0,30.0,,30.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,146,DS SMITH PLC,01377658,,103.0,27.0,31.0,42.0,21.0,90.0,,124.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,143,DS SMITH PAPER LIMITED,00058614,,102.0,21.0,28.0,52.0,27.0,90.0,,106.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,138,NORTHGATEARINSO UK LIMITED,01587537,,33.0,71.0,17.0,12.0,32.0,60.0,,90.0,False,,False,True,True,False,False
2017 MAY - 2017 OCT,144,DS SMITH RECYCLING UK LIMITED,00214967,,113.0,40.0,6.0,54.0,52.0,94.0,,94.0,False,,False,False,True,False,False
2017 MAY - 2017 NOV,279,GENERAL MILLS UK LIMITED,04633664,,44.0,72.0,28.0,0.0,30.0,0.0,90.0,90.0,False,,False,True,True,False,False
2017 MAY - 2017 NOV,278,YOPLAIT UK LIMITED,02597128,,41.0,74.0,26.0,0.0,40.0,0.0,90.0,90.0,False,,False,True,True,False,False
2017 JUN - 2017 NOV,254,TNT UK LIMITED,01628530,,53.0,29.0,34.0,37.0,23.0,0.0,90.0,90.0,False,,False,True,True,False,False
2017 JUN - 2017 NOV,302,NWF FUELS LIMITED,01117133,,32.0,64.0,32.0,4.0,22.0,30.0,60.0,75.0,False,,False,True,True,False,False
2017 JUN - 2017 DEC,265,FAT FACE LIMITED,02954734,,47.0,29.0,22.0,49.0,49.0,0.0,90.0,90.0,False,,False,False,True,False,False
2017 JUN - 2017 DEC,352,BLACKWELL UK LIMITED,00796591,,61.0,22.0,21.0,56.0,56.0,0.0,90.0,120.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,632,GILLETTE U.K. LIMITED,00254912,,49.0,14.0,78.0,8.0,5.0,75.0,,90.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,21352,WWF-UK,04016725,True,41.0,60.0,23.0,17.0,40.0,30.0,,30.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,709,AMCOR FLEXIBLES WINTERBOURNE LIMITED,02456291,,52.0,28.0,36.0,36.0,57.0,110.0,,170.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,708,AMCOR FLEXIBLES UK LIMITED,02808801,,59.0,23.0,33.0,44.0,54.0,110.0,,170.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,707,AMCOR PACKAGING UK LIMITED,00409295,,52.0,39.0,26.0,35.0,61.0,60.0,,170.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,706,AMCOR EUROPE GROUP MANAGEMENT,04176956,,34.0,61.0,28.0,10.0,78.0,110.0,,170.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,631,PROCTER & GAMBLE TECHNICAL CENTRES LIMITED,03281294,,46.0,20.0,71.0,9.0,8.0,75.0,,90.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,630,PROCTER & GAMBLE PRODUCT SUPPLY (U.K.) LIMITED,03074536,,55.0,21.0,71.0,8.0,9.0,75.0,,90.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,524,KIER PARTNERSHIP HOMES LIMITED,04242676,,87.0,11.0,48.0,41.0,81.0,7.0,,95.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,622,DIAGEO GLOBAL SUPPLY IBC LIMITED,NI003038,,82.0,1.0,26.0,73.0,12.0,30.0,60.0,120.0,False,,True,False,True,False,False
2017 JUL - 2017 DEC,621,DIAGEO GREAT BRITAIN LIMITED,00507652,,73.0,3.0,37.0,60.0,10.0,59.0,60.0,120.0,False,,True,False,True,False,False
2017 JUL - 2017 DEC,620,DIAGEO NORTHERN IRELAND LIMITED,NI003755,,71.0,3.0,30.0,67.0,7.0,59.0,60.0,120.0,False,,True,False,True,False,False
2017 JUL - 2017 DEC,526,KIER PROPERTY DEVELOPMENTS LIMITED,00873685,,55.0,38.0,35.0,27.0,53.0,7.0,,30.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,371,CHIVAS BROTHERS LIMITED,SC268758,,51.0,16.0,52.0,32.0,8.0,60.0,90.0,120.0,False,,False,True,True,False,False
2017 JUL - 2017 DEC,522,KIER LIVING LIMITED,00775505,,71.0,10.0,39.0,51.0,74.0,7.0,,95.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,623,DIAGEO SCOTLAND LIMITED,SC000750,,76.0,1.0,35.0,64.0,9.0,59.0,60.0,180.0,False,,True,False,True,False,False
2017 JUL - 2017 DEC,506,KIER CONSTRUCTION LIMITED,02099533,,59.0,32.0,34.0,34.0,45.0,7.0,,95.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,517,KIER HIGHWAYS LIMITED,05606089,,64.0,16.0,45.0,39.0,68.0,7.0,,60.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,515,KIER INTEGRATED SERVICES LIMITED,00873179,,65.0,17.0,27.0,56.0,44.0,7.0,,60.0,False,,True,True,True,False,False
2017 JUL - 2017 DEC,591,SHOP DIRECT FINANCE COMPANY LIMITED,04660974,,53.0,49.0,13.0,38.0,19.0,90.0,,90.0,False,,False,False,True,False,False
2017 JUL - 2017 DEC,589,SHOP DIRECT HOME SHOPPING LIMITED,04663281,,70.0,14.0,20.0,66.0,20.0,90.0,,120.0,False,,False,False,True,False,False
2017 JUL - 2018 JAN,784,J D WETHERSPOON PLC,01709784,,37.0,51.0,34.0,15.0,16.0,60.0,,180.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,1144,IAN MOSEY (LIVESTOCK) LIMITED,06833157,,23.0,71.0,27.0,2.0,81.0,0.0,,91.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,1171,DRAPER TOOLS LIMITED,00570630,,27.0,77.0,21.0,2.0,36.0,0.0,30.0,30.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1208,VALLEY INVICTA ACADEMIES TRUST,07559256,,32.0,64.0,29.0,7.0,45.0,30.0,,60.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,14739,ACCENTURE (UK) LIMITED,04757301,True,37.0,51.0,43.0,6.0,19.0,0.0,60.0,60.0,False,,True,True,True,False,False
2017 SEP - 2018 FEB,15678,AVANADE UK LIMITED,04042711,True,33.0,66.0,30.0,4.0,23.0,0.0,60.0,60.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,38440,ST MARY'S SCHOOL ASCOT,01844327,True,32.0,55.0,39.0,6.0,45.0,30.0,60.0,60.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,1142,TILLERY VALLEY FOODS LIMITED,02065462,,27.0,46.0,51.0,3.0,16.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1134,SODEXO GLOBAL SERVICES UK LIMITED,08146193,,26.0,70.0,19.0,11.0,30.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1140,"THE BEDFORDSHIRE, NORTHAMPTONSHIRE, CAMBRIDGESHIRE AND HERTFORDSHIRE COMMUNITY REHABILITATION COMPANY LIMITED",08802546,,33.0,58.0,23.0,18.0,36.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,960,GRACE ACADEMY,04967658,,32.0,66.0,27.0,7.0,39.0,30.0,,30.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,1141,THE SOUTH YORKSHIRE COMMUNITY REHABILITATION COMPANY LIMITED,08802527,,29.0,64.0,22.0,14.0,26.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,961,MERCHANT TAYLORS' SCHOOL,03411540,,33.0,59.0,32.0,9.0,41.0,7.0,31.0,45.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,999,R.TWINING AND COMPANY LIMITED,00525071,,32.0,37.0,47.0,16.0,58.0,60.0,,120.0,False,,True,True,True,False,False
2017 SEP - 2018 FEB,1068,THE BROOKE WESTON TRUST,02400784,,24.0,82.0,14.0,4.0,25.0,15.0,,40.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,934,IAN MOSEY LIMITED,01441284,,19.0,83.0,16.0,1.0,62.0,0.0,,51.0,False,,False,False,True,False,False
2017 SEP - 2018 FEB,1133,SODEXO LIMITED,00842846,,64.0,22.0,20.0,58.0,19.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1137,THE NORTHUMBRIA COMMUNITY REHABILITATION COMPANY LIMITED,08802519,,34.0,58.0,22.0,20.0,41.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1138,THE NORFOLK AND SUFFOLK COMMUNITY REHABILITATION COMPANY LIMITED,08802548,,26.0,63.0,27.0,9.0,33.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1139,THE ESSEX COMMUNITY REHABILITATION COMPANY LIMITED,08802550,,30.0,61.0,21.0,19.0,32.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 FEB,1135,THE CUMBRIA AND LANCASHIRE COMMUNITY REHABILITATION COMPANY LIMITED,08802569,,27.0,60.0,27.0,13.0,38.0,0.0,,90.0,False,,False,True,True,False,False
2017 SEP - 2018 MAR,1219,DEBENHAMS RETAIL PLC,00083395,,57.0,25.0,40.0,35.0,7.0,1.0,120.0,120.0,False,,False,False,True,False,False
2017 SEP - 2018 MAR,1217,BRITISH SUGAR PLC,00315158,,50.0,40.0,28.0,32.0,18.0,60.0,,90.0,False,,True,False,True,False,False
2017 SEP - 2018 MAR,1598,ARAMARK LIMITED,00983951,,58.0,15.0,47.0,38.0,35.0,0.0,120.0,120.0,False,,False,True,True,False,False
2017 OCT - 2018 MAR,1564,JOHNSON CONTROLS BATTERIES LIMITED,00982901,,43.0,87.0,4.0,9.0,18.0,0.0,90.0,90.0,False,,False,True,True,False,False
