Period,Report Id,Company,Company number,Payments made in the reporting period,Average time to pay,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,% Invoices not paid within agreed terms,Shortest (or only) standard payment period,Longest standard payment period,Maximum contractual payment period,Payment terms have changed,Suppliers notified of changes,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list
2017 APR - 2017 OCT,8860,JACKSON'S BAKERY LIMITED,03974455,,53.0,15.0,53.0,32.0,89.0,1.0,80.0,80.0,False,,False,True,True,False,False
2017 OCT - 2018 MAR,1429,WGC LTD,01163829,,30.0,54.0,40.0,6.0,89.0,30.0,,45.0,False,,False,False,True,False,False
2017 OCT - 2018 APR,8859,JACKSON'S BAKERY LIMITED,03974455,,53.0,17.0,44.0,39.0,94.0,1.0,80.0,80.0,False,,False,True,True,False,False
2018 JAN - 2018 JUN,4969,BRUSH ELECTRICAL MACHINES LIMITED,00111849,,61.0,27.0,28.0,45.0,85.0,60.0,90.0,90.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,6782,CIVIL AND MARINE LIMITED,02301423,,73.0,7.0,47.0,46.0,90.0,60.0,90.0,90.0,False,,False,True,True,False,False
2018 JAN - 2018 JUN,62886,AVON COSMETICS LIMITED,00592235,True,40.0,34.0,49.0,17.0,100.0,60.0,,120.0,False,,False,True,True,False,False
2018 JAN - 2018 JUN,9201,MANN + HUMMEL (UK) LIMITED,03152081,True,46.0,21.0,49.0,30.0,90.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,3635,CCF LIMITED,01632482,,49.0,20.0,54.0,26.0,91.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,3627,BENCHMARX KITCHENS AND JOINERY LIMITED,02780063,,55.0,18.0,45.0,37.0,93.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,3505,TMD FRICTION UK LIMITED,04330235,,49.0,23.0,46.0,31.0,86.0,1.0,,90.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,2659,O-I MANUFACTURING UK LIMITED,00526983,,55.0,7.0,32.0,61.0,95.0,30.0,60.0,60.0,False,,False,False,True,False,False
2018 JAN - 2018 JUN,4404,MACNAUGHTON BLAIR LIMITED,NI023032,,65.0,4.0,41.0,55.0,90.0,30.0,120.0,120.0,False,,False,True,True,True,True
2018 JAN - 2018 JUN,4784,AMCOR EUROPE GROUP MANAGEMENT,04176956,,32.0,61.0,26.0,13.0,89.0,110.0,,170.0,False,,False,True,True,False,False
2018 JAN - 2018 JUN,3820,TRAVIS PERKINS TRADING COMPANY LIMITED,00733503,,51.0,25.0,44.0,31.0,85.0,30.0,90.0,107.0,False,,False,False,True,False,False
2018 APR - 2018 SEP,7473,DAIRY CREST LIMITED,02085882,,60.0,15.0,43.0,42.0,90.0,0.0,120.0,120.0,False,,False,False,True,False,False
2018 APR - 2018 SEP,8330,WGC LTD,01163829,,23.0,67.0,32.0,1.0,86.0,0.0,45.0,45.0,False,,False,False,True,False,False
2018 APR - 2018 OCT,8858,JACKSON'S BAKERY LIMITED,03974455,,43.0,22.0,48.0,30.0,94.0,1.0,80.0,80.0,False,,False,True,True,False,False
2018 JUL - 2018 DEC,12404,MANN + HUMMEL (UK) LIMITED,03152081,True,46.0,22.0,52.0,26.0,93.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,62887,AVON COSMETICS LIMITED,00592235,True,38.0,40.0,44.0,16.0,100.0,60.0,,120.0,False,,False,True,True,False,False
2018 JUL - 2018 DEC,9937,DANISCO (UK) LIMITED,02271469,True,70.0,20.0,17.0,63.0,92.0,60.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,10236,CCF LIMITED,01632482,True,47.0,21.0,56.0,23.0,91.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,9635,GARDNER DENVER LTD,03047245,True,61.0,15.0,35.0,50.0,92.0,7.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,10249,TILE GIANT LIMITED,04308218,True,36.0,64.0,21.0,15.0,88.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,9856,O-I GLASS LIMITED,00526983,True,52.0,4.0,92.0,4.0,96.0,30.0,60.0,60.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,9807,BENCHMARX KITCHENS AND JOINERY LIMITED,02780063,True,56.0,18.0,41.0,41.0,91.0,30.0,90.0,90.0,False,,False,False,True,False,False
2018 JUL - 2018 DEC,11434,MACNAUGHTON BLAIR LIMITED,NI023032,True,69.0,2.0,35.0,63.0,94.0,30.0,120.0,120.0,False,,False,True,True,True,True
2018 OCT - 2019 MAR,15563,WGC LTD,01163829,True,33.0,39.0,50.0,11.0,87.0,7.0,45.0,45.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,62888,AVON COSMETICS LIMITED,00592235,True,38.0,45.0,38.0,16.0,96.0,60.0,,120.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,20490,SAFRAN SEATS GB LIMITED,00278391,True,83.0,2.0,15.0,83.0,100.0,60.0,,60.0,True,True,False,False,True,False,False
2019 JAN - 2019 JUN,21005,O-I GLASS LIMITED,00526983,True,56.0,8.0,89.0,3.0,96.0,30.0,60.0,60.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,20863,MANN + HUMMEL (UK) LIMITED,03152081,True,47.0,21.0,51.0,28.0,94.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,20749,ASAHI UK LTD,05320470,True,71.0,5.0,50.0,45.0,97.0,30.0,90.0,180.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,17662,DANISCO (UK) LIMITED,02271469,True,69.0,19.0,15.0,66.0,86.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,17567,CHEP UK LIMITED,00197807,True,51.0,21.0,53.0,26.0,89.0,0.0,60.0,90.0,False,,True,True,True,False,False
2019 JAN - 2019 JUN,18288,CARLSBERG UK LIMITED,00078439,True,35.0,44.0,55.0,1.0,99.0,63.0,93.0,93.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18306,MACNAUGHTON BLAIR LIMITED,NI023032,True,62.0,5.0,40.0,55.0,90.0,30.0,120.0,120.0,False,,False,True,True,True,True
2019 JAN - 2019 JUN,19471,EATON MEDC LIMITED,01202172,True,56.0,16.0,44.0,40.0,86.0,7.0,120.0,120.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,19466,EATON ELECTRICAL SYSTEMS LIMITED,03012749,True,58.0,18.0,44.0,38.0,88.0,7.0,120.0,120.0,False,,False,True,True,False,False
2019 JAN - 2019 JUN,18559,TILE GIANT LIMITED,04308218,True,38.0,55.0,28.0,17.0,88.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18549,CCF LIMITED,01632482,True,47.0,23.0,54.0,23.0,89.0,30.0,90.0,107.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18546,BENCHMARX KITCHENS AND JOINERY LIMITED,02780063,True,56.0,19.0,39.0,42.0,90.0,30.0,90.0,90.0,False,,False,False,True,False,False
2019 JAN - 2019 JUN,18807,CPI MORTARS LIMITED,03291462,True,55.0,5.0,58.0,37.0,96.0,0.0,60.0,60.0,False,,False,True,True,False,False
